Code,Subject,Descriptions
8600000223000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|２ 学校の教育活動を進めるに当たっては，各学校において，第４節の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(4)までに掲げる事項の実現を図り，児童又は生徒に生きる力を育むことを目指すものとする。|(3) 学校における体育・健康に関する指導を，児童又は生徒の発達の段階を考慮して，学校の教育活動全体を通じて適切に行うことにより，健康で安全な生活と豊かなスポーツライフの実現を目指した教育の充実に努めること。特に，学校における食育の推進並びに体力の向上に関する指導，安全に関する指導及び心身の健康の保持増進に関する指導については，小学部の体育科や家庭科（知的障害者である児童に対する教育を行う特別支援学校においては生活科），中学部の保健体育科や技術・家庭科（知的障害者である生徒に対する教育を行う特別支援学校においては職業・家庭科）及び特別活動の時間はもとより，各教科，道徳科，外国語活動，総合的な学習の時間及び自立活動などにおいてもそれぞれの特質に応じて適切に行うよう努めること。また，それらの指導を通して，家庭や地域社会との連携を図りながら，日常生活において適切な体育・健康に関する活動の実践を促し，生涯を通じて健康・安全で活力ある生活を送るための基礎が培われるよう配慮すること。
8600000224000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|２ 学校の教育活動を進めるに当たっては，各学校において，第４節の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して，創意工夫を生かした特色ある教育活動を展開する中で，次の(1)から(4)までに掲げる事項の実現を図り，児童又は生徒に生きる力を育むことを目指すものとする。|(4) 学校における自立活動の指導は，障害による学習上又は生活上の困難を改善・克服し，自立し社会参加する資質を養うため，自立活動の時間はもとより，学校の教育活動全体を通じて適切に行うものとする。特に，自立活動の時間における指導は，各教科，道徳科，外国語活動，総合的な学習の時間及び特別活動と密接な関連を保ち，個々の児童又は生徒の障害の状態や特性及び心身の発達の段階等を的確に把握して，適切な指導計画の下に行うよう配慮すること。
8600000230000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|３  ２の(1)から(4)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される児童又は生徒に，生きる力を育むことを目指すに当たっては，学校教育全体並びに各教科，道徳科，外国語活動，総合的な学習の時間，特別活動（ただし，第３節の３の(2)のイ及びカにおいて， 特別活動については学級活動（学校給食に係るものを除く。）に限る。）及び自立活動の指導を通してどのような資質・能力の育成を目指すのかを明確にしながら， 教育活動の充実を図るものとする。その際，児童又は生徒の障害の状態や特性及び心身の発達の段階等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。
8600000231000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|３  ２の(1)から(4)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される児童又は生徒に，生きる力を育むことを目指すに当たっては，学校教育全体並びに各教科，道徳科，外国語活動，総合的な学習の時間，特別活動（ただし，第３節の３の(2)のイ及びカにおいて， 特別活動については学級活動（学校給食に係るものを除く。）に限る。）及び自立活動の指導を通してどのような資質・能力の育成を目指すのかを明確にしながら， 教育活動の充実を図るものとする。その際，児童又は生徒の障害の状態や特性及び心身の発達の段階等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。|(1) 知識及び技能が習得されるようにすること。
8600000232000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|３  ２の(1)から(4)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される児童又は生徒に，生きる力を育むことを目指すに当たっては，学校教育全体並びに各教科，道徳科，外国語活動，総合的な学習の時間，特別活動（ただし，第３節の３の(2)のイ及びカにおいて， 特別活動については学級活動（学校給食に係るものを除く。）に限る。）及び自立活動の指導を通してどのような資質・能力の育成を目指すのかを明確にしながら， 教育活動の充実を図るものとする。その際，児童又は生徒の障害の状態や特性及び心身の発達の段階等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。|(2) 思考力，判断力，表現力等を育成すること。
8600000233000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|３  ２の(1)から(4)までに掲げる事項の実現を図り，豊かな創造性を備え持続可能な社会の創り手となることが期待される児童又は生徒に，生きる力を育むことを目指すに当たっては，学校教育全体並びに各教科，道徳科，外国語活動，総合的な学習の時間，特別活動（ただし，第３節の３の(2)のイ及びカにおいて， 特別活動については学級活動（学校給食に係るものを除く。）に限る。）及び自立活動の指導を通してどのような資質・能力の育成を目指すのかを明確にしながら， 教育活動の充実を図るものとする。その際，児童又は生徒の障害の状態や特性及び心身の発達の段階等を踏まえつつ，次に掲げることが偏りなく実現できるようにするものとする。|(3) 学びに向かう力，人間性等を涵養すること。
8600000240000000,総則,第２節 小学部及び中学部における教育の基本と教育課程の役割|４ 各学校においては，児童又は生徒や学校，地域の実態を適切に把握し，教育の目的や目標の実現に必要な教育の内容等を教科等横断的な視点で組み立てていくこと，教育課程の実施状況を評価してその改善を図っていくこと，教育課程の実施に必要な人的又は物的な体制を確保するとともにその改善を図っていくことなどを通して，教育課程に基づき組織的かつ計画的に各学校の教育活動の質の向上を図っていくこと（以下「カリキュラム・マネジメント」という。）に努めるものとする。その際，児童又は生徒に何が身に付いたかという学習の成果を的確に捉え，第３節の３の(3)のイに示す個別の指導計画の実施状況の評価と改善を， 教育課程の評価と改善につなげていくよう工夫すること。
8600000300000000,総則,第３節 教育課程の編成
8600000310000000,総則,"第３節 教育課程の編成|１  各学校の教育目標と教育課程の編成
教育課程の編成に当たっては，学校教育全体や各教科等における指導を通して育成を目指す資質・能力を踏まえつつ，各学校の教育目標を明確にするとともに， 教育課程の編成についての基本的な方針が家庭や地域とも共有されるよう努めるものとする。その際，小学部は小学校学習指導要領の第５章総合的な学習の時間の第２の１，中学部は中学校学習指導要領の第４章総合的な学習の時間の第２の１に基づき定められる目標との関連を図るものとする。"
8600000320000000,総則,第３節 教育課程の編成|２  教科等横断的な視点に立った資質・能力の育成
8600000321000000,総則,第３節 教育課程の編成|２  教科等横断的な視点に立った資質・能力の育成|(1) 各学校においては，児童又は生徒の障害の状態や特性及び心身の発達の段階等を考慮し，言語能力，情報活用能力（情報モラルを含む。），問題発見・解決能力等の学習の基盤となる資質・能力を育成していくことができるよう，各教科等の特質を生かし，教科等横断的な視点から教育課程の編成を図るものとする。
8600000322000000,総則,第３節 教育課程の編成|２  教科等横断的な視点に立った資質・能力の育成|(2) 各学校においては，児童又は生徒や学校，地域の実態並びに児童又は生徒の障害の状態や特性及び心身の発達の段階等を考慮し，豊かな人生の実現や災害等を乗り越えて次代の社会を形成することに向けた現代的な諸課題に対応して求められる資質・能力を，教科等横断的な視点で育成していくことができるよう，各学校の特色を生かした教育課程の編成を図るものとする。
8600000330000000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項
8600000331000000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(1) 内容等の取扱い
8600000331100000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(1) 内容等の取扱い|ア 第２章以下に示す各教科，道徳科，外国語活動，特別活動及び自立活動の内容に関する事項は，特に示す場合を除き，いずれの学校においても取り扱わなければならない。
8600000331200000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(1) 内容等の取扱い|イ 学校において特に必要がある場合には，第２章以下に示していない内容を加えて指導することができる。また，第２章以下に示す内容の取扱いのうち内容の範囲や程度等を示す事項は，全ての児童又は生徒に対して指導するものとする内容の範囲や程度等を示したものであり，学校において特に必要がある場合には，この事項にかかわらず加えて指導することができる。ただし， これらの場合には，第２章以下に示す各教科，道徳科，外国語活動，特別活動及び自立活動の目標や内容並びに各学年や各段階，各分野又は各言語の目標や内容（知的障害者である児童又は生徒に対する教育を行う特別支援学校においては，外国語科及び外国語活動の各言語の内容）の趣旨を逸脱したり， 児童又は生徒の負担過重となったりすることのないようにしなければならない。
8600000331300000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(1) 内容等の取扱い|ウ 第２章以下に示す各教科，道徳科，外国語活動，特別活動及び自立活動の内容並びに各学年，各段階，各分野又は各言語の内容に掲げる事項の順序は，特に示す場合を除き，指導の順序を示すものではないので，学校においては，その取扱いについて適切な工夫を加えるものとする。
8600000331800000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(1) 内容等の取扱い|ク 知的障害者である児童又は生徒に対する教育を行う特別支援学校において，各教科の指導に当たっては，各教科の段階に示す内容を基に，児童又は 生徒の知的障害の状態や経験等に応じて，具体的に指導内容を設定するもの とする。その際，小学部は６年間，中学部は３年間を見通して計画的に指導するものとする。
8600000331A00000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(1) 内容等の取扱い|コ 道徳科を要として学校の教育活動全体を通じて行う道徳教育の内容は，小学部においては第３章特別の教科道徳において準ずるものとしている小学校学習指導要領第３章特別の教科道徳の第２に示す内容，中学部においては第３章特別の教科道徳において準ずるものとしている中学校学習指導要領第３ 章特別の教科道徳の第２に示す内容とし，その実施に当たっては，第７節に示す道徳教育に関する配慮事項を踏まえるものとする。
8600000332000000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い
8600000332100000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|ア 小学部又は中学部の各学年における第２章以下に示す各教科（知的障害者である生徒に対する教育を行う特別支援学校の中学部において，外国語科を設ける場合を含む。以下同じ。），道徳科，外国語活動（知的障害者である児童に対する教育を行う特別支援学校の小学部において，外国語活動を設ける場合を含む。以下同じ。），総合的な学習の時間，特別活動（学級活動（学校給食に係る時間を除く。）に限る。以下，この項，イ及びカにおいて同じ。） 及び自立活動（以下「各教科等」という。）の総授業時数は，小学校又は中学校の各学年における総授業時数に準ずるものとする。この場合，各教科等の目標及び内容を考慮し，それぞれの年間の授業時数を適切に定めるものとする。
8600000332200000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|イ  小学部又は中学部の各教科等の授業は，年間 35 週（小学部第１学年については 34 週）以上にわたって行うよう計画し，週当たりの授業時数が児童又は生徒の負担過重にならないようにするものとする。ただし，各教科等（中学部においては，特別活動を除く。）や学習活動の特質に応じ効果的な場合には，夏季，冬季，学年末等の休業日の期間に授業日を設定する場合を含め， これらの授業を特定の期間に行うことができる。
8600000332300000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|ウ 小学部又は中学部の各学年の総合的な学習の時間に充てる授業時数は，児童又は生徒の障害の状態や特性及び心身の発達の段階等を考慮して，視覚障害者，聴覚障害者，肢体不自由者又は病弱者である児童又は生徒に対する教育を行う特別支援学校については，小学部第３学年以上及び中学部の各学年において，知的障害者である生徒に対する教育を行う特別支援学校については，中学部の各学年において，それぞれ適切に定めるものとする。
8600000332400000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|エ 特別活動の授業のうち，小学部の児童会活動，クラブ活動及び学校行事並びに中学部の生徒会活動及び学校行事については，それらの内容に応じ，年間，学期ごと，月ごとなどに適切な授業時数を充てるものとする。
8600000332500000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|オ 小学部又は中学部の各学年の自立活動の時間に充てる授業時数は，児童又は生徒の障害の状態や特性及び心身の発達の段階等に応じて，適切に定めるものとする。
8600000332600000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|カ 各学校の時間割については，次の事項を踏まえ適切に編成するものとする。
8600000332610000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|カ 各学校の時間割については，次の事項を踏まえ適切に編成するものとする。|(ｱ) 小学部又は中学部の各教科等のそれぞれの授業の１単位時間は，各学校において，各教科等の年間授業時数を確保しつつ，児童又は生徒の障害の状態や特性及び心身の発達の段階等並びに各教科等や学習活動の特質を考慮して適切に定めること。
8600000332620000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|カ 各学校の時間割については，次の事項を踏まえ適切に編成するものとする。|(ｲ) 各教科等の特質に応じ，10 分から 15 分程度の短い時間を活用して特定の教科等の指導を行う場合において，当該教科等を担当する教師が，単元や題材など内容や時間のまとまりを見通した中で，その指導内容の決定や指導の成果の把握と活用等を責任をもって行う体制が整備されているときは，その時間を当該教科等の年間授業時数に含めることができること。
8600000332630000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|カ 各学校の時間割については，次の事項を踏まえ適切に編成するものとする。|(ｳ) 給食，休憩などの時間については，各学校において工夫を加え，適切に定めること。
8600000332640000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|カ 各学校の時間割については，次の事項を踏まえ適切に編成するものとする。|(ｴ) 各学校において，児童又は生徒や学校，地域の実態及び各教科等や学習活動の特質等に応じて，創意工夫を生かした時間割を弾力的に編成できること。
8600000332700000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(2) 授業時数等の取扱い|キ  総合的な学習の時間における学習活動により，特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては，総合的な学習の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。
8600000333000000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(3) 指導計画の作成等に当たっての配慮事項
8600000333100000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(3) 指導計画の作成等に当たっての配慮事項|ア  各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし， 全体として，調和のとれた具体的な指導計画を作成するものとする。
8600000333110000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(3) 指導計画の作成等に当たっての配慮事項|ア  各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし， 全体として，調和のとれた具体的な指導計画を作成するものとする。|(ｱ) 各教科等の各学年，各段階，各分野又は各言語の指導内容については，(1)のアを踏まえつつ，単元や題材など内容や時間のまとまりを見通しながら，そのまとめ方や重点の置き方に適切な工夫を加え，第４節の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して資質・能力を育む効果的な指導ができるようにすること。
8600000333120000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(3) 指導計画の作成等に当たっての配慮事項|ア  各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし， 全体として，調和のとれた具体的な指導計画を作成するものとする。|(ｲ) 各教科等及び各学年相互間の関連を図り，系統的，発展的な指導ができるようにすること。
8600000333140000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(3) 指導計画の作成等に当たっての配慮事項|ア  各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし， 全体として，調和のとれた具体的な指導計画を作成するものとする。|(ｴ) 小学部においては，児童の実態等を考慮し，指導の効果を高めるため， 児童の障害の状態や特性及び心身の発達の段階等並びに指導内容の関連性等を踏まえつつ，合科的・関連的な指導を進めること。
8600000333150000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(3) 指導計画の作成等に当たっての配慮事項|ア  各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし， 全体として，調和のとれた具体的な指導計画を作成するものとする。|(ｵ) 知的障害者である児童又は生徒に対する教育を行う特別支援学校において，各教科，道徳科，外国語活動，特別活動及び自立活動の一部又は全部を合わせて指導を行う場合，各教科，道徳科，外国語活動，特別活動及び自立活動に示す内容を基に，児童又は生徒の知的障害の状態や経験等に応じて，具体的に指導内容を設定するものとする。また，各教科等の内容の一部又は全部を合わせて指導を行う場合には，授業時数を適切に定めること。
8600000333200000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(3) 指導計画の作成等に当たっての配慮事項|イ 各教科等の指導に当たっては，個々の児童又は生徒の実態を的確に把握し， 次の事項に配慮しながら，個別の指導計画を作成すること。
8600000333210000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(3) 指導計画の作成等に当たっての配慮事項|イ 各教科等の指導に当たっては，個々の児童又は生徒の実態を的確に把握し， 次の事項に配慮しながら，個別の指導計画を作成すること。|(ｱ) 児童又は生徒の障害の状態や特性及び心身の発達の段階等並びに学習の進度等を考慮して，基礎的・基本的な事項に重点を置くこと。
8600000333220000,総則,第３節 教育課程の編成|３ 教育課程の編成における共通的事項|(3) 指導計画の作成等に当たっての配慮事項|イ 各教科等の指導に当たっては，個々の児童又は生徒の実態を的確に把握し， 次の事項に配慮しながら，個別の指導計画を作成すること。|(ｲ) 児童又は生徒が，基礎的・基本的な知識及び技能の習得も含め，学習内容を確実に身に付けることができるよう，それぞれの児童又は生徒に作成した個別の指導計画や学校の実態に応じて，指導方法や指導体制の工夫改善に努めること。その際，児童又は生徒の障害の状態や特性及び心身の発達の段階等並びに学習の進度等を考慮して，個別指導を重視するとともに， グループ別指導，繰り返し指導，学習内容の習熟の程度に応じた学習，児童又は生徒の興味・関心等に応じた課題学習，補充的な学習や発展的な学習などの学習活動を取り入れることや，教師間の協力による指導体制を確保することなど，指導方法や指導体制の工夫改善により，個に応じた指導の充実を図ること。その際，第４節の１の(3)に示す情報手段や教材・教具の活用を図ること。
8600000340000000,総則,"第３節 教育課程の編成|４ 学部段階間及び学校段階等間の接続
教育課程の編成に当たっては，次の事項に配慮しながら，学部段階間及び学校段階等間の接続を図るものとする。"
8600000341000000,総則,"第３節 教育課程の編成|４ 学部段階間及び学校段階等間の接続
教育課程の編成に当たっては，次の事項に配慮しながら，学部段階間及び学校段階等間の接続を図るものとする。|(1) 小学部においては，幼児期の終わりまでに育ってほしい姿を踏まえた指導を工夫することにより，特別支援学校幼稚部教育要領及び幼稚園教育要領等に基づく幼児期の教育を通して育まれた資質・能力を踏まえて教育活動を実施し， 児童が主体的に自己を発揮しながら学びに向かうことが可能となるようにすること。
また，低学年における教育全体において，例えば生活科において育成する自立し生活を豊かにしていくための資質・能力が，他教科等の学習においても生かされるようにするなど，教科等間の関連を積極的に図り，幼児期の教育及び中学年以降の教育との円滑な接続が図られるよう工夫すること。特に，小学部入学当初においては，幼児期において自発的な活動としての遊びを通して育まれてきたことが，各教科等における学習に円滑に接続されるよう，生活科を中心に，合科的・関連的な指導や弾力的な時間割の設定など，指導の工夫や指導計画の作成を行うこと。"
8600000342000000,総則,"第３節 教育課程の編成|４ 学部段階間及び学校段階等間の接続
教育課程の編成に当たっては，次の事項に配慮しながら，学部段階間及び学校段階等間の接続を図るものとする。|(2) 小学部においては，特別支援学校小学部・中学部学習指導要領又は中学校学習指導要領及び特別支援学校高等部学習指導要領又は高等学校学習指導要領を踏まえ，中学部における教育又は中学校教育及びその後の教育との円滑な接続が図られるよう工夫すること。"
8600000343000000,総則,"第３節 教育課程の編成|４ 学部段階間及び学校段階等間の接続
教育課程の編成に当たっては，次の事項に配慮しながら，学部段階間及び学校段階等間の接続を図るものとする。|(3) 中学部においては，特別支援学校小学部・中学部学習指導要領又は小学校学習指導要領を踏まえ，小学部における教育又は小学校教育までの学習の成果が中学部における教育に円滑に接続され，義務教育段階の終わりまでに育成することを目指す資質・能力を，生徒が確実に身に付けることができるよう工夫すること。"
8600000344000000,総則,"第３節 教育課程の編成|４ 学部段階間及び学校段階等間の接続
教育課程の編成に当たっては，次の事項に配慮しながら，学部段階間及び学校段階等間の接続を図るものとする。|(4) 中学部においては，特別支援学校高等部学習指導要領又は高等学校学習指導要領を踏まえ，高等部における教育又は高等学校教育及びその後の教育との円滑な接続が図られるよう工夫すること。"
8600000400000000,総則,第４節 教育課程の実施と学習評価
8600000410000000,総則,"第４節 教育課程の実施と学習評価|１ 主体的・対話的で深い学びの実現に向けた授業改善
各教科等の指導に当たっては，次の事項に配慮するものとする。"
8600000411000000,総則,"第４節 教育課程の実施と学習評価|１ 主体的・対話的で深い学びの実現に向けた授業改善
各教科等の指導に当たっては，次の事項に配慮するものとする。|(1) 第２節の３の(1)から(3)までに示すことが偏りなく実現されるよう，単元や題材など内容や時間のまとまりを見通しながら，児童又は生徒の主体的・対話的で深い学びの実現に向けた授業改善を行うこと。
特に，各教科等において身に付けた知識及び技能を活用したり，思考力，判断力，表現力等や学びに向かう力，人間性等を発揮させたりして，学習の対象となる物事を捉え思考することにより，各教科等の特質に応じた物事を捉える視点や考え方（以下「見方・考え方」という。）が鍛えられていくことに留意し， 児童又は生徒が各教科等の特質に応じた見方・考え方を働かせながら，知識を相互に関連付けてより深く理解したり，情報を精査して考えを形成したり，問題を見いだして解決策を考えたり，思いや考えを基に創造したりすることに向かう過程を重視した学習の充実を図ること。"
8600000412000000,総則,"第４節 教育課程の実施と学習評価|１ 主体的・対話的で深い学びの実現に向けた授業改善
各教科等の指導に当たっては，次の事項に配慮するものとする。|(2) 第３節の２の(1)に示す言語能力の育成を図るため，各学校において必要な言語環境を整えるとともに，国語科を要としつつ各教科等の特質に応じて， 児童又は生徒の言語活動を充実すること。あわせて，(7)に示すとおり読書活動を充実すること。"
8600000413000000,総則,"第４節 教育課程の実施と学習評価|１ 主体的・対話的で深い学びの実現に向けた授業改善
各教科等の指導に当たっては，次の事項に配慮するものとする。|(3) 第３節の２の(1)に示す情報活用能力の育成を図るため，各学校において， コンピュータや情報通信ネットワークなどの情報手段を活用するために必要な環境を整え，これらを適切に活用した学習活動の充実を図ること。また，各種の統計資料や新聞，視聴覚教材や教育機器などの教材・教具の適切な活用を図ること。
あわせて，小学部においては，各教科等の特質に応じて，次の学習活動を計画的に実施すること。"
8600000413100000,総則,"第４節 教育課程の実施と学習評価|１ 主体的・対話的で深い学びの実現に向けた授業改善
各教科等の指導に当たっては，次の事項に配慮するものとする。|(3) 第３節の２の(1)に示す情報活用能力の育成を図るため，各学校において， コンピュータや情報通信ネットワークなどの情報手段を活用するために必要な環境を整え，これらを適切に活用した学習活動の充実を図ること。また，各種の統計資料や新聞，視聴覚教材や教育機器などの教材・教具の適切な活用を図ること。
あわせて，小学部においては，各教科等の特質に応じて，次の学習活動を計画的に実施すること。|ア  児童がコンピュータで文字を入力するなどの学習の基盤として必要となる情報手段の基本的な操作を習得するための学習活動"
8600000413200000,総則,"第４節 教育課程の実施と学習評価|１ 主体的・対話的で深い学びの実現に向けた授業改善
各教科等の指導に当たっては，次の事項に配慮するものとする。|(3) 第３節の２の(1)に示す情報活用能力の育成を図るため，各学校において， コンピュータや情報通信ネットワークなどの情報手段を活用するために必要な環境を整え，これらを適切に活用した学習活動の充実を図ること。また，各種の統計資料や新聞，視聴覚教材や教育機器などの教材・教具の適切な活用を図ること。
あわせて，小学部においては，各教科等の特質に応じて，次の学習活動を計画的に実施すること。|イ  児童がプログラミングを体験しながら，コンピュータに意図した処理を行わせるために必要な論理的思考力を身に付けるための学習活動"
8600000414000000,総則,"第４節 教育課程の実施と学習評価|１ 主体的・対話的で深い学びの実現に向けた授業改善
各教科等の指導に当たっては，次の事項に配慮するものとする。|(4) 児童又は生徒が学習の見通しを立てたり学習したことを振り返ったりする活動を，計画的に取り入れるよう工夫すること。"
8600000415000000,総則,"第４節 教育課程の実施と学習評価|１ 主体的・対話的で深い学びの実現に向けた授業改善
各教科等の指導に当たっては，次の事項に配慮するものとする。|(5) 児童又は生徒が生命の有限性や自然の大切さ，主体的に挑戦してみることや多様な他者と協働することの重要性などを実感しながら理解することができるよう，各教科等の特質に応じた体験活動を重視し，家庭や地域社会と連携しつつ体系的・継続的に実施できるよう工夫すること。"
