教科等,No,学習指導要領テキスト,学習指導要領コード
総則,34,商業（ビジネス基礎，課題研究，総合実践，ビジネス・コミュニケーション，マーケティング，商品開発と流通，観光ビジネス，ビジネス・マネジメント，グローバル経済，ビジネス法規，簿記，財務会計Ⅰ，財務会計Ⅱ，原価計算，管理会計，情報処理，ソフトウェア活用，プログラミング，ネットワーク活用，ネットワーク管理）,8C00000223113130
総則,35,水産（水産海洋基礎，課題研究，総合実習，海洋情報技術，水産海洋科学，漁業，航海・計器，船舶運用，船用機関，機械設計工作，電気理論，移動体通信工学，海洋通信技術，資源増殖，海洋生物，海洋環境，小型船舶，食品製造，食品管理，水産流通，ダイビング，マリンスポーツ）,8C00000223113140
総則,36,家庭（生活産業基礎，課題研究，生活産業情報，消費生活，保育基礎，保育実践，生活と福祉，住生活デザイン，服飾文化，ファッション造形基礎，ファッション造形，ファッションデザイン，服飾手芸，フードデザイン，食文化，調理，栄養，食品，食品衛生，公衆衛生，総合調理実習）,8C00000223113150
総則,37,看護（基礎看護，人体の構造と機能，疾病の成り立ちと回復の促進，健康支援と社会保障制度，成人看護，老年看護，小児看護，母性看護，精神看護，在宅看護，看護の統合と実践，看護臨地実習，看護情報）,8C00000223113160
総則,38,情報（情報産業と社会，課題研究，情報の表現と管理，情報テクノロジー，情報セキュリティ，情報システムのプログラミング，ネットワークシステム，データベース，情報デザイン，コンテンツの制作と発信，メディアとサービス，情報実習）,8C00000223113170
総則,39,福祉（社会福祉基礎，介護福祉基礎，コミュニケーション技術，生活支援技術，介護過程，介護総合演習，介護実習，こころとからだの理解，福祉情報）,8C00000223113180
総則,40,理数（理数数学Ⅰ，理数数学Ⅱ，理数数学特論，理数物理，理数化学，理数生物，理数地学）,8C00000223113190
総則,41,体育（スポーツ概論，スポーツⅠ，スポーツⅡ，スポーツⅢ，スポーツⅣ，スポーツⅤ，スポーツⅥ，スポーツ総合演習）,8C000002231131A0
総則,42,音楽（音楽理論，音楽史，演奏研究，ソルフェージュ，声楽，器楽，作曲，鑑賞研究）,8C000002231131B0
総則,43,美術（美術概論，美術史，鑑賞研究，素描，構成，絵画，版画，彫刻，ビジュアルデザイン，クラフトデザイン，情報メディアデザイン，映像表現，環境造形）,8C000002231131C0
総則,44,英語（総合英語Ⅰ，総合英語Ⅱ，総合英語Ⅲ，ディベート・ディスカッションⅠ，ディベート・ディスカッションⅡ，エッセイライティングⅠ，エッセイライティングⅡ）,8C000002231131D0
総則,45,? 視覚障害者である生徒に対する教育を行う特別支援学校,8D00000223113200
総則,46,保健理療（医療と社会，人体の構造と機能，疾病の成り立ちと予防，生活と疾病，基礎保健理療，臨床保健理療，地域保健理療と保健理療経営，保健理療基礎実習，保健理療臨床実習，保健理療情報，課題研究）,8D00000223113210
総則,47,? 聴覚障害者である生徒に対する教育を行う特別支援学校,8E00000223113300
総則,48,印刷（印刷概論，印刷デザイン，印刷製版技術，ＤＴＰ技術，印刷情報技術，デジタル画像技術，印刷総合実習，課題研究）,8E00000223113310
総則,49,理容・美容（関係法規・制度，衛生管理，保健，香粧品化学，文化論，理容・美容技術理論，運営管理，理容実習，美容実習，理容・美容情報，課題研究）,8E00000223113320
総則,50,クリーニング（クリーニング関係法規，公衆衛生，クリーニング理論，繊維，クリーニング機器・装置，クリーニング実習，課題研究）,8E00000223113330
総則,51,"(エ) 学校設定科目
学校においては，生徒や学校，地域の実態及び学科の特色等に応じ，特色ある教育課程の編成に資するよう，(イ)及び(ウ)の表に掲げる教科について， これらに属する科目以外の科目（以下「学校設定科目」という。）を設けることができる。この場合において，学校設定科目の名称，目標，内容， 単位数等については，その科目の属する教科の目標に基づき，高等部における教育としての水準の確保に十分配慮し，各学校の定めるところによるものとする。",8C00000223114000
総則,52,(オ) 学校設定教科,8C00000223115000
総則,53,? 学校においては，生徒や学校，地域の実態及び学科の特色等に応じ， 特色ある教育課程の編成に資するよう，(イ)及び(ウ)の表に掲げる教科以外の教科（以下この項及び第４款の１の(2)において「学校設定教科」という。）及び当該教科に関する科目を設けることができる。この場合において，学校設定教科及び当該教科に関する科目の名称，目標，内容，単位数等については，高等部における教育の目標に基づき，高等部における教育としての水準の確保に十分配慮し，各学校の定めるところによるものとする。,8C00000223115100
総則,54,? 学校においては，学校設定教科に関する科目として「産業社会と人間」を設けることができる。この科目の目標，内容，単位数等を各学校において定めるに当たっては，産業社会における自己の在り方生き方について考えさせ，社会に積極的に寄与し，生涯にわたって学習に取り組む意欲や態度を養うとともに，生徒の主体的な各教科・科目の選択に資するよう，就業体験活動等の体験的な学習や調査・研究などを通して，次のような事項について指導することに配慮するものとする。,8C00000223115200
総則,55,ａ 社会生活や職業生活に必要な基本的な能力や態度及び望ましい勤労観，職業観の育成,8C00000223115210
総則,56,ｂ 我が国の産業の発展とそれがもたらした社会の変化についての考察,8C00000223115220
総則,57,ｃ 自己の将来の生き方や進路についての考察及び各教科・科目の履修計画の作成,8C00000223115230
総則,58,イ　各教科・科目の履修等,8C00000223120000
総則,59,(ア) 各学科に共通する必履修教科・科目及び総合的な探究の時間,8C00000223121000
総則,60,? 全ての生徒に履修させる各教科・科目（以下「必履修教科・科目」という。）は次のとおりとし，その単位数は，アの(イ)に標準単位数として示された単位数を下らないものとする。ただし，生徒の実態及び専門学科の特色等を考慮し，特に必要がある場合には，「数学Ⅰ」及び「英語コミュニケーションⅠ」については２単位とすることができ，その他の必履修教科・科目（標準単位数が２単位であるものを除く。）についてはその単位数の一部を減じることができる。,8C00000223121100
総則,61,ａ 国語のうち「現代の国語」及び「言語文化」 ,8C00000223121110
総則,62,ｂ 地理歴史のうち「地理総合」及び「歴史総合」,8C00000223121120
総則,63,ｃ 公民のうち「公共」,8C00000223121130
総則,64,ｄ 数学のうち「数学Ⅰ」,8C00000223121140
総則,65,ｅ 理科のうち「科学と人間生活」，「物理基礎」，「化学基礎」，「生物基礎」及び「地学基礎」のうちから２科目（うち１科目は「科学と人間生活」とする。）又は「物理基礎」，「化学基礎」，「生物基礎」及び「地学基礎」のうちから３科目,8C00000223121150
総則,66,ｆ 保健体育のうち「体育」及び「保健」,8C00000223121160
総則,67,ｇ 芸術のうち「音楽Ⅰ」，「美術Ⅰ」，「工芸Ⅰ」及び「書道Ⅰ」のうちから１科目,8C00000223121170
総則,68,ｈ 外国語のうち「英語コミュニケーションⅠ」（英語以外の外国語を履修する場合は，学校設定科目として設ける１科目とし，その標準単位数は３単位とする。）,8C00000223121180
総則,69,ｉ 家庭のうち「家庭基礎」及び「家庭総合」のうちから１科目 ,8C00000223121190
総則,70,ｊ 情報のうち「情報Ⅰ」 ,8C000002231211A0
総則,71,? 総合的な探究の時間については，全ての生徒に履修させるものとし， その単位数は，各学校において，生徒や学校の実態に応じて適切に定めるものとする。,8C00000223121200
総則,72,? 外国の高等学校等に留学していた生徒について，外国の高等学校等における履修により，必履修教科・科目又は総合的な探究の時間の履修と同様の成果が認められる場合においては，外国の高等学校等における履修をもって相当する必履修教科・科目又は総合的な探究の時間の履修の一部又は全部に替えることができる。,8C00000223121300
総則,73,"(イ) 専門学科における各教科・科目の履修
専門学科における各教科・科目の履修については，(ア)のほか次のとおりとする。",8C00000223122000
総則,74,? 専門学科においては，専門教科・科目（アの(ウ)の表に掲げる各教科・科目，同表の教科に属する学校設定科目及び専門教育に関する学校設定教科に関する科目をいう。以下同じ。）について，全ての生徒に履修させる単位数は，25 単位を下らないこと。ただし，各学科の目標を達成する上で，専門教科・科目以外の各教科・科目の履修により，専門教科・科目の履修と同様の成果が期待できる場合においては，その専門教科・科目以外の各教科・科目の単位数の一部の履修をもって，当該専門教科・科目の単位数の一部の履修に替えることができること。,8C00000223122100
総則,75,?  専門教科・科目の履修によって，(ア)の必履修教科・科目の履修と同様の成果が期待できる場合においては，その専門教科・科目の履修をもって，必履修教科・科目の履修の一部又は全部に替えることができること。,8C00000223122200
総則,76,? 職業教育を主とする専門学科においては，総合的な探究の時間の履修により，農業，工業，商業，水産，家庭，情報，保健理療，印刷，理容・美容若しくはクリーニングの各教科の「課題研究」，看護の「看護臨地実習」又は福祉の「介護総合演習」（以下「課題研究等」という。）の履修と同様の成果が期待できる場合においては，総合的な探究の時間の履修をもって課題研究等の履修の一部又は全部に替えることができること。また，課題研究等の履修により，総合的な探究の時間の履修と同様の成果が期待できる場合においては，課題研究等の履修をもって総合的な探究の時間の履修の一部又は全部に替えることができること。,8C00000223122300
総則,77,ウ　各教科・科目等の授業時数等,8C00000223130000
総則,78,(ア) 各教科・科目，ホームルーム活動及び自立活動の授業は，年間 35 週行うことを標準とし，必要がある場合には，各教科・科目及び自立活動の授業を特定の学期又は特定の期間（夏季，冬季，学年末等の休業日の期間に授業日を設定する場合を含む。）に行うことができる。,8C00000223131000
総則,79,(イ) 週当たりの授業時数は，30 単位時間を標準とする。ただし，特に必要がある場合には，これを増加することができる。,8C00000223132000
総則,80,(ウ) ホームルーム活動の授業時数については，原則として，年間 35 単位時間以上とするものとする。,8C00000223133000
総則,81,(エ) 生徒会活動及び学校行事については，生徒や学校の実態に応じて，それぞれ適切な授業時数を充てるものとする。,8C00000223134000
総則,82,(オ) 各学年の自立活動の時間に充てる授業時数は，生徒の障害の状態や特性及び心身の発達の段階等に応じて，適切に定めるものとする。,8C00000223135000
総則,83,(カ) 各教科・科目等のそれぞれの授業の１単位時間は，各学校において，各教科・科目等の授業時数を確保しつつ，生徒の実態及び各教科・科目等の特質を考慮して適切に定めるものとする。,8C00000223136000
総則,84,(キ) 各教科・科目等の特質に応じ，10 分から 15 分程度の短い時間を活用して特定の各教科・科目等の指導を行う場合において，当該各教科・科目等を担当する教師が単元や題材など内容や時間のまとまりを見通した中で， その指導内容の決定や指導の成果の把握と活用等を責任をもって行う体制が整備されているときは，その時間を当該各教科・科目等の授業時数に含めることができる。,8C00000223137000
総則,85,(ク) 総合的な探究の時間における学習活動により，特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては，総合的な探究の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。,8C00000223138000
総則,86,(ケ) 理数の「理数探究基礎」又は「理数探究」の履修により，総合的な探究の時間の履修と同様の成果が期待できる場合においては，「理数探究基礎」又は「理数探究」の履修をもって総合的な探究の時間の履修の一部又は全部に替えることができる。,8C00000223139000
総則,87,(2) 知的障害者である生徒に対する教育を行う特別支援学校における各教科等の履修等,8G00000223200000
総則,88,ア  各教科等の履修,8G00000223210000
総則,89,"(ア) 卒業までに履修させる各教科等
各学校においては，卒業までに履修させる(イ)から(エ)までに示す各教科及びその授業時数，道徳科及び総合的な探究の時間の授業時数，特別活動及びその授業時数並びに自立活動の授業時数に関する事項を定めるものとする。",8G00000223211000
総則,90,(イ) 各学科に共通する各教科等,8G00000223212000
総則,91,? 国語，社会，数学，理科，音楽，美術，保健体育，職業及び家庭の各教科，道徳科，総合的な探究の時間，特別活動並びに自立活動については，特に示す場合を除き，全ての生徒に履修させるものとする。,8G00000223212100
総則,92,? 外国語及び情報の各教科については，生徒や学校の実態を考慮し，必要に応じて設けることができる。,8G00000223212200
総則,93,(ウ) 主として専門学科において開設される各教科,8G00000223213000
総則,94,? 専門学科においては，(イ)のほか，家政，農業，工業，流通・サービス若しくは福祉の各教科又は(エ)に規定する学校設定教科のうち専門教育に関するもの（以下「専門教科」という。）のうち，いずれか１以上履修させるものとする。,8G00000223213100
総則,95,? 専門教科の履修によって，(イ)の?の全ての生徒に履修させる各教科の履修と同様の成果が期待できる場合においては，その専門教科の履修をもって，全ての生徒に履修させる各教科の履修に替えることができる。,8G00000223213200
総則,96,"(エ) 学校設定教科
学校においては，生徒や学校，地域の実態及び学科の特色等に応じ，特色ある教育課程の編成に資するよう，(イ)及び(ウ)に掲げる教科以外の教科（以下この項において「学校設定教科」という。）を設けることができる。この場合において，学校設定教科の名称，目標，内容等については，高等部における教育の目標に基づき，高等部における教育としての水準の確保に十分配慮し，各学校の定めるところによるものとする。",8G00000223214000
総則,97,イ　各教科等の授業時数等,8G00000223220000
総則,98,"(ア) 各教科等（ただし，この項及び(ク)において，特別活動についてはホームルーム活動に限る。）の総授業時数は，各学年とも 1,050 単位時間（１単位時間は，50 分として計算するものとする。(ウ)において同じ。）を標準とし，特に必要がある場合には，これを増加することができる。この場合，各教科等の目標及び内容を考慮し，各教科及び総合的な探究の時間の配当学年及び当該学年における授業時数，道徳科，特別活動及び自立活動の各学年における授業時数を適切に定めるものとする。",8G00000223221000
総則,99,(イ) 各教科，道徳科，ホームルーム活動及び自立活動の授業は，年間 35 週行うことを標準とし，必要がある場合には，各教科，道徳科及び自立活動の授業を特定の学期又は特定の期間（夏季，冬季，学年末等の休業日の期間に授業日を設定する場合を含む。）に行うことができる。,8G00000223222000
総則,100,(ウ) 専門学科においては，専門教科について，全ての生徒に履修させる授業時数は，875 単位時間を下らないものとする。,8G00000223223000
総則,101,(エ) ホームルーム活動の授業時数については，原則として，年間 35 単位時間以上とするものとする。,8G00000223224000
総則,102,(オ) 生徒会活動及び学校行事については，生徒や学校の実態に応じて，それぞれ適切な授業時数を充てるものとする。,8G00000223225000
総則,103,(カ) 総合的な探究の時間に充てる授業時数は，各学校において，生徒や学校の実態に応じて，適切に定めるものとする。,8G00000223226000
総則,104,(キ) 各学年の自立活動の時間に充てる授業時数は，生徒の障害の状態や特性及び心身の発達の段階等に応じて，適切に定めるものとする。,8G00000223227000
総則,105,(ク) 各教科等のそれぞれの授業の１単位時間は，各学校において，各教科等の授業時数を確保しつつ，生徒の実態及び各教科等の特質を考慮して適切に定めるものとする。,8G00000223228000
総則,106,(ケ) 各教科等の特質に応じ，10 分から 15 分程度の短い時間を活用して特定の各教科等の指導を行う場合において，当該各教科等を担当する教師が単元や題材など内容の時間のまとまりを見通した中で，その指導内容の決定や指導の成果の把握と活用等を責任をもって行う体制が整備されているときは，その時間を当該各教科等の授業時数に含めることができる。,8G00000223229000
総則,107,(コ) 総合的な探究の時間における学習活動により，特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては，総合的な探究の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。,8G0000022322A000
総則,108,"(3) 選択履修の趣旨を生かした適切な教育課程の編成
教育課程の編成に当たっては，生徒の障害の状態や特性及び心身の発達の段階等に応じた適切な各教科・科目（知的障害者である生徒に対する教育を行う特別支援学校においては各教科。以下この項，(4)のイ，(6) 及び第５款において同じ。）の履修ができるようにし，このため，多様な各教科・科目を設け生徒が自由に選択履修することのできるよう配慮するものとする。また，教育課程の類型を設け，そのいずれかの類型を選択して履修させる場合においても，その類型において履修させることになっている各教科・科目以外の各教科・科目を履修させたり，生徒が自由に選択履修することのできる各教科・科目を設けたりするものとする。",8B00000223300000
総則,109,(4) 各教科・科目等又は各教科等の内容等の取扱い,8B00000223400000
総則,110,ア　学校においては，第２章以下に示していない事項を加えて指導することができる。また，第２章第１節第１款において準ずるものとしている高等学校学習指導要領第２章及び第３章並びに同節第３款から第９款までに示す各科目又は第２節第１款及び第２款に示す各教科の内容の取扱いのうち内容の範囲や程度等を示す事項は，当該科目（知的障害者である生徒に対する教育を行う特別支援学校においては各教科。）を履修する全ての生徒に対して指導するものとする内容の範囲や程度等を示したものであり，学校において必要がある場合には，この事項にかかわらず指導することができる。ただし，これらの場合には，第２章以下に示す各教科・科目等又は各教科等の目標や内容の趣旨を逸脱したり，生徒の負担が過重となったりすることのないようにするものとする。,8B00000223410000
総則,111,イ　第２章以下に示す各教科・科目，特別活動及び自立活動の内容に掲げる事項の順序は，特に示す場合を除き，指導の順序を示すものではないので，学校においては，その取扱いについて適切な工夫を加えるものとする。,8B00000223420000
総則,112,ウ　視覚障害者，聴覚障害者，肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校においては，あらかじめ計画して，各教科・科目の内容及び総合的な探究の時間における学習活動を学期の区分に応じて単位ごとに分割して指導することができる。,8C00000223430000
総則,113,エ　視覚障害者，聴覚障害者，肢体不自由者又は病弱者である生徒に対する教育を行う特別支援学校においては，特に必要がある場合には，第２章に示す教科及び科目の目標の趣旨を損なわない範囲内で，各教科・科目の内容に関する事項について，基礎的・基本的な事項に重点を置くなどその内容を適切に選択して指導することができる。,8C00000223440000
