教科等,No,学習指導要領テキスト,学習指導要領コード
総則,11,(3) 学びに向かう力，人間性等を涵《かん》養すること。,8.2E+15
総則,12,４　各学校においては，児童や学校，地域の実態を適切に把握し，教育の目的や目標の実現に必要な教育の内容等を教科等横断的な視点で組み立てていくこと，教育課程の実施状況を評価してその改善を図っていくこと，教育課程の実施に必要な人的又は物的な体制を確保するとともにその改善を図っていくことなどを通して，教育課程に基づき組織的かつ計画的に各学校の教育活動の質の向上を図っていくこと（以下「カリキュラム・マネジメント」という。）に努めるものとする。,8.2E+15
総則,13,第２　教育課程の編成,8.2E+15
総則,14,"１　各学校の教育目標と教育課程の編成
　教育課程の編成に当たっては，学校教育全体や各教科等における指導を通して育成を目指す資質・能力を踏まえつつ，各学校の教育目標を明確にするとともに，教育課程の編成についての基本的な方針が家庭や地域とも共有されるよう努めるものとする。その際，第５章総合的な学習の時間の第２の１に基づき定められる目標との関連を図るものとする。",8.2E+15
総則,15,２　教科等横断的な視点に立った資質・能力の育成,8.2E+15
総則,16,(1) 各学校においては，児童の発達の段階を考慮し，言語能力，情報活用能力（情報モラルを含む。），問題発見・解決能力等の学習の基盤となる資質・能力を育成していくことができるよう，各教科等の特質を生かし，教科等横断的な視点から教育課程の編成を図るものとする。,8.2E+15
総則,17,(2) 各学校においては，児童や学校，地域の実態及び児童の発達の段階を考慮し，豊かな人生の実現や災害等を乗り越えて次代の社会を形成することに向けた現代的な諸課題に対応して求められる資質・能力を，教科等横断的な視点で育成していくことができるよう，各学校の特色を生かした教育課程の編成を図るものとする。,8.2E+15
総則,18,３　教育課程の編成における共通的事項,8.2E+15
総則,19,(1) 内容等の取扱い,8.2E+15
総則,20,ア　第２章以下に示す各教科，道徳科，外国語活動及び特別活動の内容に関する事項は，特に示す場合を除き，いずれの学校においても取り扱わなければならない。,8.2E+15
総則,21,イ　学校において特に必要がある場合には，第２章以下に示していない内容を加えて指導することができる。また，第２章以下に示す内容の取扱いのうち内容の範囲や程度等を示す事項は，全ての児童に対して指導するものとする内容の範囲や程度等を示したものであり，学校において特に必要がある場合には，この事項にかかわらず加えて指導することができる。ただし，これらの場合には，第２章以下に示す各教科，道徳科，外国語活動及び特別活動の目標や内容の趣旨を逸脱したり，児童の負担過重となったりすることのないようにしなければならない。,8.2E+15
総則,22,ウ　第２章以下に示す各教科，道徳科，外国語活動及び特別活動の内容に掲げる事項の順序は，特に示す場合を除き，指導の順序を示すものではないので，学校においては，その取扱いについて適切な工夫を加えるものとする。,8.2E+15
総則,23,エ　学年の内容を２学年まとめて示した教科及び外国語活動の内容は，２学年間かけて指導する事項を示したものである。各学校においては，これらの事項を児童や学校，地域の実態に応じ，２学年間を見通して計画的に指導することとし，特に示す場合を除き，いずれかの学年に分けて，又はいずれの学年においても指導するものとする。,8.2E+15
総則,24,オ　学校において２以上の学年の児童で編制する学級について特に必要がある場合には，各教科及び道徳科の目標の達成に支障のない範囲内で，各教科及び道徳科の目標及び内容について学年別の順序によらないことができる。,8.2E+15
総則,25,カ　道徳科を要として学校の教育活動全体を通じて行う道徳教育の内容は，第３章特別の教科道徳の第２に示す内容とし，その実施に当たっては，第６に示す道徳教育に関する配慮事項を踏まえるものとする。,8.2E+15
総則,26,(2) 授業時数等の取扱い,8.2E+15
総則,27,ア　各教科等の授業は，年間35週(第１学年については34週）以上にわたって行うよう計画し，週当たりの授業時数が児童の負担過重にならないようにするものとする。ただし，各教科等や学習活動の特質に応じ効果的な場合には，夏季，冬季，学年末等の休業日の期間に授業日を設定する場合を含め，これらの授業を特定の期間に行うことができる。,8.2E+15
総則,28,イ　特別活動の授業のうち，児童会活動，クラブ活動及び学校行事については，それらの内容に応じ，年間，学期ごと，月ごとなどに適切な授業時数を充てるものとする。,8.2E+15
総則,29,ウ　各学校の時間割については，次の事項を踏まえ適切に編成するものとする。,8.2E+15
総則,30,(ｱ) 各教科等のそれぞれの授業の１単位時間は，各学校において，各教科等の年間授業時数を確保しつつ，児童の発達の段階及び各教科等や学習活動の特質を考慮して適切に定めること。,8.2E+15
総則,31,(ｲ) 各教科等の特質に応じ，10分から15分程度の短い時間を活用して特定の教科等の指導を行う場合において，教師が，単元や題材など内容や時間のまとまりを見通した中で，その指導内容の決定や指導の成果の把握と活用等を責任を持って行う体制が整備されているときは，その時間を当該教科等の年間授業時数に含めることができること。 ,8.2E+15
総則,32,(ｳ) 給食，休憩などの時間については，各学校において工夫を加え，適切に定めること。,8.2E+15
総則,33,(ｴ) 各学校において，児童や学校，地域の実態，各教科等や学習活動の特質等に応じて，創意工夫を生かした時間割を弾力的に編成できること。,8.2E+15
総則,34,エ　総合的な学習の時間における学習活動により，特別活動の学校行事に掲げる各行事の実施と同様の成果が期待できる場合においては，総合的な学習の時間における学習活動をもって相当する特別活動の学校行事に掲げる各行事の実施に替えることができる。,8.2E+15
総則,35,"(3) 指導計画の作成等に当たっての配慮事項
各学校においては，次の事項に配慮しながら，学校の創意工夫を生かし，全体として，調和のとれた具体的な指導計画を作成するものとする。",8.2E+15
総則,36,ア　各教科等の指導内容については，(1)のアを踏まえつつ，単元や題材など内容や時間のまとまりを見通しながら，そのまとめ方や重点の置き方に適切な工夫を加え，第３の１に示す主体的・対話的で深い学びの実現に向けた授業改善を通して資質・能力を育む効果的な指導ができるようにすること。,8.2E+15
総則,37,イ　各教科等及び各学年相互間の関連を図り，系統的，発展的な指導ができるようにすること。,8.2E+15
総則,38,ウ　学年の内容を２学年まとめて示した教科及び外国語活動については，当該学年間を見通して，児童や学校，地域の実態に応じ，児童の発達の段階を考慮しつつ，効果的，段階的に指導するようにすること。,8.2E+15
総則,39,エ　児童の実態等を考慮し，指導の効果を高めるため，児童の発達の段階や指導内容の関連性等を踏まえつつ，合科的・関連的な指導を進めること。,8.2E+15
総則,40,"４　学校段階等間の接続
教育課程の編成に当たっては，次の事項に配慮しながら，学校段階等間の接続を図るものとする。",8.2E+15
総則,41,"(1) 幼児期の終わりまでに育ってほしい姿を踏まえた指導を工夫することにより，幼稚園教育要領等に基づく幼児期の教育を通して育まれた資質・能力を踏まえて教育活動を実施し，児童が主体的に自己を発揮しながら学びに向かうことが可能となるようにすること。
　また，低学年における教育全体において，例えば生活科において育成する自立し生活を豊かにしていくための資質・能力が，他教科等の学習においても生かされるようにするなど，教科等間の関連を積極的に図り，幼児期の教育及び中学年以降の教育との円滑な接続が図られるよう工夫すること。特に，小学校入学当初においては，幼児期において自発的な活動としての遊びを通して育まれてきたことが，各教科等における学習に円滑に接続されるよう，生活科を中心に，合科的・関連的な指導や弾力的な時間割の設定など，指導の工夫や指導計画の作成を行うこと。",8.2E+15
総則,42,(2) 中学校学習指導要領及び高等学校学習指導要領を踏まえ，中学校教育及びその後の教育との円滑な接続が図られるよう工夫すること。特に，義務教育学校，中学校連携型小学校及び中学校併設型小学校においては，義務教育９年間を見通した計画的かつ継続的な教育課程を編成すること。,8.2E+15
総則,43,第３　教育課程の実施と学習評価,8.2E+15
総則,44,"１　主体的・対話的で深い学びの実現に向けた授業改善
　各教科等の指導に当たっては，次の事項に配慮するものとする。",8.2E+15
総則,45,"(1) 第１の３の(1)から(3)までに示すことが偏りなく実現されるよう，単元や題材など内容や時間のまとまりを見通しながら，児童の主体的・対話的で深い学びの実現に向けた授業改善を行うこと。
　特に，各教科等において身に付けた知識及び技能を活用したり，思考力，判断力，表現力等や学びに向かう力，人間性等を発揮させたりして，学習の対象となる物事を捉え思考することにより，各教科等の特質に応じた物事を捉える視点や考え方（以下「見方・考え方」という。）が鍛えられていくことに留意し，児童が各教科等の特質に応じた見方・考え方を働かせながら，知識を相互に関連付けてより深く理解したり，情報を精査して考えを形成したり，問題を見いだして解決策を考えたり，思いや考えを基に創造したりすることに向かう過程を重視した学習の充実を図ること。",8.2E+15
総則,46,(2) 第２の２の(1)に示す言語能力の育成を図るため，各学校において必要な言語環境を整えるとともに，国語科を要としつつ各教科等の特質に応じて，児童の言語活動を充実すること。あわせて，(7)に示すとおり読書活動を充実すること。,8.2E+15
総則,47,"(3) 第２の２の(1)に示す情報活用能力の育成を図るため，各学校において，コンピュータや情報通信ネットワークなどの情報手段を活用するために必要な環境を整え，これらを適切に活用した学習活動の充実を図ること。また，各種の統計資料や新聞，視聴覚教材や教育機器などの教材・教具の適切な活用を図ること。
　あわせて，各教科等の特質に応じて，次の学習活動を計画的に実施すること。",8.2E+15
総則,48,ア　児童がコンピュータで文字を入力するなどの学習の基盤として必要となる情報手段の基本的な操作を習得するための学習活動,8.2E+15
総則,49,イ　児童がプログラミングを体験しながら，コンピュータに意図した処理を行わせるために必要な論理的思考力を身に付けるための学習活動,8.2E+15
総則,50,(4) 児童が学習の見通しを立てたり学習したことを振り返ったりする活動を，計画的に取り入れるように工夫すること。,8.2E+15
総則,51,(5) 児童が生命の有限性や自然の大切さ，主体的に挑戦してみることや多様な他者と協働することの重要性などを実感しながら理解することができるよう，各教科等の特質に応じた体験活動を重視し，家庭や地域社会と連携しつつ体系的・継続的に実施できるよう工夫すること。,8.2E+15
総則,52,(6) 児童が自ら学習課題や学習活動を選択する機会を設けるなど，児童の興味・関心を生かした自主的，自発的な学習が促されるよう工夫すること。,8.2E+15
総則,53,(7) 学校図書館を計画的に利用しその機能の活用を図り，児童の主体的・対話的で深い学びの実現に向けた授業改善に生かすとともに，児童の自主的，自発的な学習活動や読書活動を充実すること。また，地域の図書館や博物館，美術館，劇場，音楽堂等の施設の活用を積極的に図り，資料を活用した情報の収集や鑑賞等の学習活動を充実すること。,8.2E+15
総則,54,"２　学習評価の充実
　学習評価の実施に当たっては，次の事項に配慮するものとする。",8.2E+15
総則,55,(1) 児童のよい点や進歩の状況などを積極的に評価し，学習したことの意義や価値を実感できるようにすること。また，各教科等の目標の実現に向けた学習状況を把握する観点から，単元や題材など内容や時間のまとまりを見通しながら評価の場面や方法を工夫して，学習の過程や成果を評価し，指導の改善や学習意欲の向上を図り，資質・能力の育成に生かすようにすること。,8.2E+15
総則,56,(2) 創意工夫の中で学習評価の妥当性や信頼性が高められるよう，組織的かつ計画的な取組を推進するとともに，学年や学校段階を越えて児童の学習の成果が円滑に接続されるように工夫すること。,8.2E+15
総則,57,第４　児童の発達の支援,8.2E+15
総則,58,"１　児童の発達を支える指導の充実
　教育課程の編成及び実施に当たっては，次の事項に配慮するものとする。",8.2E+15
総則,59,"(1) 学習や生活の基盤として，教師と児童との信頼関係及び児童相互のよりよい人間関係を育てるため，日頃から学級経営の充実を図ること。また，主に集団の場面で必要な指導や援助を行うガイダンスと，個々の児童の多様な実態を踏まえ，一人一人が抱える課題に個別に対応した指導を行うカウンセリングの双方により，児童の発達を支援すること。
　あわせて，小学校の低学年，中学年，高学年の学年の時期の特長を生かした指導の工夫を行うこと。",8.2E+15
総則,60,(2) 児童が，自己の存在感を実感しながら，よりよい人間関係を形成し，有意義で充実した学校生活を送る中で，現在及び将来における自己実現を図っていくことができるよう，児童理解を深め，学習指導と関連付けながら，生徒指導の充実を図ること。,8.2E+15
総則,61,(3) 児童が，学ぶことと自己の将来とのつながりを見通しながら，社会的・職業的自立に向けて必要な基盤となる資質・能力を身に付けていくことができるよう，特別活動を要としつつ各教科等の特質に応じて，キャリア教育の充実を図ること。,8.2E+15
総則,62,(4) 児童が，基礎的・基本的な知識及び技能の習得も含め，学習内容を確実に身に付けることができるよう，児童や学校の実態に応じ，個別学習やグループ別学習，繰り返し学習，学習内容の習熟の程度に応じた学習，児童の興味・関心等に応じた課題学習，補充的な学習や発展的な学習などの学習活動を取り入れることや，教師間の協力による指導体制を確保することなど，指導方法や指導体制の工夫改善により，個に応じた指導の充実を図ること。その際，第３の１の(3)に示す情報手段や教材・教具の活用を図ること。,8.2E+15
総則,63,２　特別な配慮を必要とする児童への指導,8.2E+15
総則,64,(1) 障害のある児童などへの指導,8.2E+15
総則,65,ア　障害のある児童などについては，特別支援学校等の助言又は援助を活用しつつ，個々の児童の障害の状態等に応じた指導内容や指導方法の工夫を組織的かつ計画的に行うものとする。,8.2E+15
総則,66,イ　特別支援学級において実施する特別の教育課程については，次のとおり編成するものとする。,8.2E+15
総則,67,(ｱ) 障害による学習上又は生活上の困難を克服し自立を図るため，特別支援学校小学部・中学部学習指導要領第７章に示す自立活動を取り入れること。,8.2E+15
総則,68,(ｲ) 児童の障害の程度や学級の実態等を考慮の上，各教科の目標や内容を下学年の教科の目標や内容に替えたり，各教科を，知的障害者である児童に対する教育を行う特別支援学校の各教科に替えたりするなどして，実態に応じた教育課程を編成すること。,8.2E+15
総則,69,ウ　障害のある児童に対して，通級による指導を行い，特別の教育課程を編成する場合には，特別支援学校小学部・中学部学習指導要領第７章に示す自立活動の内容を参考とし，具体的な目標や内容を定め，指導を行うものとする。その際，効果的な指導が行われるよう，各教科等と通級による指導との関連を図るなど，教師間の連携に努めるものとする。,8.2E+15
総則,70,エ　障害のある児童などについては，家庭，地域及び医療や福祉，保健，労働等の業務を行う関係機関との連携を図り，長期的な視点で児童への教育的支援を行うために，個別の教育支援計画を作成し活用することに努めるとともに，各教科等の指導に当たって，個々の児童の実態を的確に把握し，個別の指導計画を作成し活用することに努めるものとする。特に，特別支援学級に在籍する児童や通級による指導を受ける児童については，個々の児童の実態を的確に把握し，個別の教育支援計画や個別の指導計画を作成し，効果的に活用するものとする。,8.2E+15
総則,71,(2) 海外から帰国した児童などの学校生活への適応や，日本語の習得に困難のある児童に対する日本語指導,8.2E+15
総則,72,ア　海外から帰国した児童などについては，学校生活への適応を図るとともに，外国における生活経験を生かすなどの適切な指導を行うものとする。,8.2E+15
総則,73,イ　日本語の習得に困難のある児童については，個々の児童の実態に応じた指導内容や指導方法の工夫を組織的かつ計画的に行うものとする。特に，通級による日本語指導については，教師間の連携に努め，指導についての計画を個別に作成することなどにより，効果的な指導に努めるものとする。,8.2E+15
総則,74,(3) 不登校児童への配慮,8.2E+15
総則,75,ア　不登校児童については，保護者や関係機関と連携を図り，心理や福祉の専門家の助言又は援助を得ながら，社会的自立を目指す観点から，個々の児童の実態に応じた情報の提供その他の必要な支援を行うものとする。,8.2E+15
総則,76,イ　相当の期間小学校を欠席し引き続き欠席すると認められる児童を対象として，文部科学大臣が認める特別の教育課程を編成する場合には，児童の実態に配慮した教育課程を編成するとともに，個別学習やグループ別学習など指導方法や指導体制の工夫改善に努めるものとする。,8.2E+15
総則,77,第５　学校運営上の留意事項,8.2E+15
総則,78,１　教育課程の改善と学校評価等,8.2E+15
総則,79,ア　各学校においては，校長の方針の下に，校務分掌に基づき教職員が適切に役割を分担しつつ，相互に連携しながら，各学校の特色を生かしたカリキュラム・マネジメントを行うよう努めるものとする。また，各学校が行う学校評価については，教育課程の編成，実施，改善が教育活動や学校運営の中核となることを踏まえ，カリキュラム・マネジメントと関連付けながら実施するよう留意するものとする。,8.2E+15
総則,80,イ　教育課程の編成及び実施に当たっては，学校保健計画，学校安全計画，食に関する指導の全体計画，いじめの防止等のための対策に関する基本的な方針など，各分野における学校の全体計画等と関連付けながら，効果的な指導が行われるように留意するものとする。,8.2E+15
総則,81,"２　家庭や地域社会との連携及び協働と学校間の連携
　教育課程の編成及び実施に当たっては，次の事項に配慮するものとする。",8.2E+15
総則,82,ア　学校がその目的を達成するため，学校や地域の実態等に応じ，教育活動の実施に必要な人的又は物的な体制を家庭や地域の人々の協力を得ながら整えるなど，家庭や地域社会との連携及び協働を深めること。また，高齢者や異年齢の子供など，地域における世代を越えた交流の機会を設けること。,8.2E+15
総則,83,イ　他の小学校や，幼稚園，認定こども園，保育所，中学校，高等学校，特別支援学校などとの間の連携や交流を図るとともに，障害のある幼児児童生徒との交流及び共同学習の機会を設け，共に尊重し合いながら協働して生活していく態度を育むようにすること。,8.2E+15
総則,84,"第６　道徳教育に関する配慮事項
　道徳教育を進めるに当たっては，道徳教育の特質を踏まえ，前項までに示す事項に加え，次の事項に配慮するものとする。",8.2E+15
総則,85,１　各学校においては，第１の２の(2)に示す道徳教育の目標を踏まえ，道徳教育の全体計画を作成し，校長の方針の下に，道徳教育の推進を主に担当する教師（以下「道徳教育推進教師」という。）を中心に，全教師が協力して道徳教育を展開すること。なお，道徳教育の全体計画の作成に当たっては，児童や学校，地域の実態を考慮して，学校の道徳教育の重点目標を設定するとともに，道徳科の指導方針，第３章特別の教科道徳の第２に示す内容との関連を踏まえた各教科，外国語活動，総合的な学習の時間及び特別活動における指導の内容及び時期並びに家庭や地域社会との連携の方法を示すこと。,8.2E+15
総則,86,２　各学校においては，児童の発達の段階や特性等を踏まえ，指導内容の重点化を図ること。その際，各学年を通じて，自立心や自律性，生命を尊重する心や他者を思いやる心を育てることに留意すること。また，各学年段階においては，次の事項に留意すること。,8.2E+15
総則,87,(1) 第１学年及び第２学年においては，挨拶などの基本的な生活習慣を身に付けること，善悪を判断し，してはならないことをしないこと，社会生活上のきまりを守ること。,82000A0621000000
総則,88,(2) 第３学年及び第４学年においては，善悪を判断し，正しいと判断したことを行うこと，身近な人々と協力し助け合うこと，集団や社会のきまりを守ること。,82000C0622000000
総則,89,(3) 第５学年及び第６学年においては，相手の考え方や立場を理解して支え合うこと，法やきまりの意義を理解して進んで守ること，集団生活の充実に努めること，伝統と文化を尊重し，それらを育んできた我が国と郷土を愛するとともに，他国を尊重すること。,82000D0623000000
総則,90,３　学校や学級内の人間関係や環境を整えるとともに，集団宿泊活動やボランティア活動，自然体験活動，地域の行事への参加などの豊かな体験を充実すること。また，道徳教育の指導内容が，児童の日常生活に生かされるようにすること。その際，いじめの防止や安全の確保等にも資することとなるよう留意すること。,8.2E+15
総則,91,４　学校の道徳教育の全体計画や道徳教育に関する諸活動などの情報を積極的に公表したり，道徳教育の充実のために家庭や地域の人々の積極的な参加や協力を得たりするなど，家庭や地域社会との共通理解を深め，相互の連携を図ること。,8.2E+15
各教科（共通）,92,第２章　各教科,82n0000000000000
国語,93,第１節　国語,8.21E+15
国語,94,"第１　目標
言葉による見方・考え方を働かせ，言語活動を通して，国語で正確に理解し適切に表現する資質・能力を次のとおり育成することを目指す。",8.2101E+15
国語,95,(1) 日常生活に必要な国語について，その特質を理解し適切に使うことができるようにする。,8.2101E+15
国語,96,(2) 日常生活における人との関わりの中で伝え合う力を高め，思考力や想像力を養う。,8.2101E+15
国語,97,(3) 言葉がもつよさを認識するとともに，言語感覚を養い，国語の大切さを自覚し，国語を尊重してその能力の向上を図る態度を養う。,8.2101E+15
国語,98,第２　各学年の目標及び内容　　,8.2102E+15
国語,99,〔第１学年及び第２学年〕,82102A0000000000
国語,100,１　目標　,82102A2000000000
国語,101,(1) 日常生活に必要な国語の知識や技能を身に付けるとともに，我が国の言語文化に親しんだり理解したりすることができるようにする。,82102A2100000000
国語,102,(2) 順序立てて考える力や感じたり想像したりする力を養い，日常生活における人との関わりの中で伝え合う力を高め，自分の思いや考えをもつことができるようにする。,82102A2200000000
国語,103,(3) 言葉がもつよさを感じるとともに，楽しんで読書をし，国語を大切にして，思いや考えを伝え合おうとする態度を養う。,82102A2300000000
国語,104,２　内容,82102A3000000000
国語,105,〔知識及び技能〕,82102A3100000000
国語,106,(1) 言葉の特徴や使い方に関する次の事項を身に付けることができるよう指導する。,82102A3110000000
国語,107,ア　言葉には，事物の内容を表す働きや，経験したことを伝える働きがあることに気付くこと。,82102A3111000000
国語,108,イ　音節と文字との関係，アクセントによる語の意味の違いなどに気付くとともに，姿勢や口形，発声や発音に注意して話すこと。,82102A3112000000
国語,109,ウ　長音，拗《よう》音，促音，撥《はつ》音などの表記，助詞の「は」，「へ」及び「を」の使い方，句読点の打ち方，かぎ（「　」）の使い方を理解して文や文章の中で使うこと。また，平仮名及び片仮名を読み，書くとともに，片仮名で書く語の種類を知り，文や文章の中で使うこと。,82102A3113000000
国語,110,エ　第１学年においては，別表の学年別漢字配当表（以下「学年別漢字配当表」という。）の第１学年に配当されている漢字を読み，漸次書き，文や文章の中で使うこと。第２学年においては，学年別漢字配当表の第２学年までに配当されている漢字を読むこと。また，第１学年に配当されている漢字を書き，文や文章の中で使うとともに，第２学年に配当されている漢字を漸次書き，文や文章の中で使うこと。,82102A3114000000
国語,111,オ　身近なことを表す語句の量を増し，話や文章の中で使うとともに，言葉には意味による語句のまとまりがあることに気付き，語彙を豊かにすること。,82102A3115000000
国語,112,カ　文の中における主語と述語との関係に気付くこと。,82102A3116000000
国語,113,キ　丁寧な言葉と普通の言葉との違いに気を付けて使うとともに，敬体で書かれた文章に慣れること。,82102A3117000000
国語,114,ク　語のまとまりや言葉の響きなどに気を付けて音読すること。,82102A3118000000
国語,115,(2) 話や文章に含まれている情報の扱い方に関する次の事項を身に付けることができるよう指導する。,82102A3120000000
国語,116,ア　共通，相違，事柄の順序など情報と情報との関係について理解すること。,82102A3121000000
国語,117,(3) 我が国の言語文化に関する次の事項を身に付けることができるよう指導する。,82102A3130000000
国語,118,ア　昔話や神話・伝承などの読み聞かせを聞くなどして，我が国の伝統的な言語文化に親しむこと。,82102A3131000000
国語,119,イ　長く親しまれている言葉遊びを通して，言葉の豊かさに気付くこと。,82102A3132000000
国語,120,ウ　書写に関する次の事項を理解し使うこと。,82102A3133000000
国語,121,(ｱ) 姿勢や筆記具の持ち方を正しくして書くこと。,82102A3133100000
国語,122,(ｲ) 点画の書き方や文字の形に注意しながら，筆順に従って丁寧に書くこと。,82102A3133200000
国語,123,(ｳ) 点画相互の接し方や交わり方，長短や方向などに注意して，文字を正しく書くこと。,82102A3133300000
国語,124,エ　読書に親しみ，いろいろな本があることを知ること。,82102A3134000000
国語,125,〔思考力，判断力，表現力等〕,82102A3200000000
国語,126,Ａ　話すこと・聞くこと,82102A3210000000
国語,127,(1) 話すこと・聞くことに関する次の事項を身に付けることができるよう指導する。,82102A3211000000
国語,128,ア　身近なことや経験したことなどから話題を決め，伝え合うために必要な事柄を選ぶこと。,82102A3211100000
国語,129,イ　相手に伝わるように，行動したことや経験したことに基づいて，話す事柄の順序を考えること。,82102A3211200000
国語,130,ウ　伝えたい事柄や相手に応じて，声の大きさや速さなどを工夫すること。,82102A3211300000
国語,131,エ　話し手が知らせたいことや自分が聞きたいことを落とさないように集中して聞き，話の内容を捉えて感想をもつこと。,82102A3211400000
国語,132,オ　互いの話に関心をもち，相手の発言を受けて話をつなぐこと。,82102A3211500000
国語,133,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,82102A3212000000
国語,134,ア　紹介や説明，報告など伝えたいことを話したり，それらを聞いて声に出して確かめたり感想を述べたりする活動。,82102A3212100000
国語,135,イ　尋ねたり応答したりするなどして，少人数で話し合う活動。,82102A3212200000
国語,136,Ｂ　書くこと,82102A3220000000
国語,137,(1) 書くことに関する次の事項を身に付けることができるよう指導する。,82102A3221000000
国語,138,ア　経験したことや想像したことなどから書くことを見付け，必要な事柄を集めたり確かめたりして，伝えたいことを明確にすること。,82102A3221100000
国語,139,イ　自分の思いや考えが明確になるように，事柄の順序に沿って簡単な構成を考えること。,82102A3221200000
国語,140,ウ　語と語や文と文との続き方に注意しながら，内容のまとまりが分かるように書き表し方を工夫すること。,82102A3221300000
国語,141,エ　文章を読み返す習慣を付けるとともに，間違いを正したり，語と語や文と文との続き方を確かめたりすること。,82102A3221400000
国語,142,オ　文章に対する感想を伝え合い，自分の文章の内容や表現のよいところを見付けること。,82102A3221500000
国語,143,(2) (1)に示す事項については，例えば，次のような言語活動を通して指導するものとする。,82102A3222000000
国語,144,ア　身近なことや経験したことを報告したり，観察したことを記録したりするなど，見聞きしたことを書く活動。,82102A3222100000
国語,145,イ　日記や手紙を書くなど，思ったことや伝えたいことを書く活動。,82102A3222200000
国語,146,ウ　簡単な物語をつくるなど，感じたことや想像したことを書く活動。,82102A3222300000
国語,147,Ｃ　読むこと,82102A3230000000
国語,148,(1) 読むことに関する次の事項を身に付けることができるよう指導する。,82102A3231000000
国語,149,ア　時間的な順序や事柄の順序などを考えながら，内容の大体を捉えること。,82102A3231100000
国語,150,イ　場面の様子や登場人物の行動など，内容の大体を捉えること。,82102A3231200000
国語,151,ウ　文章の中の重要な語や文を考えて選び出すこと。,82102A3231300000
国語,152,エ　場面の様子に着目して，登場人物の行動を具体的に想像すること。,82102A3231400000
国語,153,オ　文章の内容と自分の体験とを結び付けて，感想をもつこと。,82102A3231500000
